"Day","n","pct","app"
1,42,15.1624548736462,"1"
2,35,12.6353790613718,"1"
3,40,14.4404332129964,"1"
4,41,14.8014440433213,"1"
5,38,13.7184115523466,"1"
6,45,16.2454873646209,"1"
7,36,12.9963898916967,"1"
1,1210,14.8557397176182,"2"
2,1157,14.2050337630448,"2"
3,1184,14.536525475752,"2"
4,1155,14.1804788213628,"2"
5,1141,14.0085942295887,"2"
6,1126,13.8244321669736,"2"
7,1172,14.3891958256599,"2"
1,605,14.6276595744681,"3"
2,579,13.9990328820116,"3"
3,534,12.9110251450677,"3"
4,577,13.9506769825919,"3"
5,643,15.5464216634429,"3"
6,595,14.3858800773694,"3"
7,603,14.5793036750484,"3"
1,159,15.2298850574713,"4"
2,156,14.9425287356322,"4"
3,146,13.9846743295019,"4"
4,140,13.4099616858238,"4"
5,146,13.9846743295019,"4"
6,154,14.7509578544061,"4"
7,143,13.6973180076628,"4"
1,5230,14.4714997232983,"5"
2,4750,13.1433314886552,"5"
3,4893,13.5390149418926,"5"
4,5066,14.0177089097952,"5"
5,5247,14.5185390149419,"5"
6,5472,15.1411178749308,"5"
7,5482,15.1687880464859,"5"
1,4372,13.4734506456285,"6"
2,4205,12.9587968812598,"6"
3,4708,14.5089216925021,"6"
4,4747,14.629110296157,"6"
5,4697,14.4750223427532,"6"
6,4964,15.2978520139295,"6"
7,4756,14.6568461277697,"6"
1,3933,12.9434608043178,"7"
2,4036,13.2824326992694,"7"
3,4277,14.0755611136708,"7"
4,4592,15.1122227341539,"7"
5,4632,15.2438623050089,"7"
6,4711,15.5038504574475,"7"
7,4205,13.8386098861318,"7"
1,2996,13.8915936384291,"8"
2,2760,12.7973292530255,"8"
3,2923,13.5531135531136,"8"
4,3246,15.0507720127973,"8"
5,3472,16.0986692632262,"8"
6,3146,14.58710066305,"8"
7,3024,14.0214216163583,"8"
