"day","sentiment","app"
1,0.18,"1"
2,0.22,"1"
3,0.31,"1"
4,0.14,"1"
5,0.28,"1"
6,0.19,"1"
7,0.24,"1"
1,0.2,"2"
2,0.2,"2"
3,0.21,"2"
4,0.21,"2"
5,0.22,"2"
6,0.22,"2"
7,0.21,"2"
1,0.19,"3"
2,0.2,"3"
3,0.19,"3"
4,0.18,"3"
5,0.17,"3"
6,0.21,"3"
7,0.24,"3"
1,0.06,"4"
2,0.07,"4"
3,0.13,"4"
4,0.14,"4"
5,0.07,"4"
6,0.12,"4"
7,0.12,"4"
1,0.34,"5"
2,0.34,"5"
3,0.34,"5"
4,0.34,"5"
5,0.35,"5"
6,0.35,"5"
7,0.35,"5"
1,0.35,"6"
2,0.36,"6"
3,0.36,"6"
4,0.36,"6"
5,0.35,"6"
6,0.36,"6"
7,0.36,"6"
1,0.14,"7"
2,0.14,"7"
3,0.13,"7"
4,0.13,"7"
5,0.14,"7"
6,0.13,"7"
7,0.13,"7"
1,0.24,"8"
2,0.27,"8"
3,0.27,"8"
4,0.26,"8"
5,0.27,"8"
6,0.25,"8"
7,0.27,"8"
