"Month","n","pct","app"
1,28,10.1083032490975,"1"
2,17,6.13718411552347,"1"
3,20,7.22021660649819,"1"
4,22,7.94223826714801,"1"
5,26,9.38628158844765,"1"
6,27,9.74729241877256,"1"
7,23,8.30324909747292,"1"
8,27,9.74729241877256,"1"
9,18,6.49819494584837,"1"
10,21,7.5812274368231,"1"
11,21,7.5812274368231,"1"
12,27,9.74729241877256,"1"
1,556,6.82627378759975,"2"
2,584,7.17004297114794,"2"
3,611,7.50153468385512,"2"
4,583,7.15776550030694,"2"
5,663,8.13996316758748,"2"
6,691,8.48373235113567,"2"
7,745,9.14671577655003,"2"
8,811,9.95702885205648,"2"
9,768,9.42909760589319,"2"
10,722,8.86433394720688,"2"
11,708,8.69244935543278,"2"
12,703,8.63106200122775,"2"
1,456,11.0251450676983,"3"
2,414,10.0096711798839,"3"
3,347,8.38974854932302,"3"
4,342,8.26885880077369,"3"
5,332,8.02707930367505,"3"
6,336,8.12379110251451,"3"
7,350,8.46228239845261,"3"
8,429,10.3723404255319,"3"
9,324,7.83365570599613,"3"
10,281,6.79400386847195,"3"
11,235,5.68181818181818,"3"
12,290,7.01160541586073,"3"
1,68,6.51340996168582,"4"
2,53,5.07662835249042,"4"
3,58,5.55555555555556,"4"
4,48,4.59770114942529,"4"
5,68,6.51340996168582,"4"
6,118,11.3026819923372,"4"
7,137,13.1226053639847,"4"
8,147,14.0804597701149,"4"
9,103,9.86590038314176,"4"
10,108,10.3448275862069,"4"
11,69,6.60919540229885,"4"
12,67,6.4176245210728,"4"
1,2357,6.5218594355285,"5"
2,2291,6.33923630326508,"5"
3,2378,6.57996679579413,"5"
4,2448,6.77365799667958,"5"
5,2347,6.49418926397344,"5"
6,3324,9.19756502490315,"5"
7,3977,11.0044272274488,"5"
8,4286,11.8594355285003,"5"
9,3425,9.4770337576093,"5"
10,3037,8.40343110127283,"5"
11,3404,9.41892639734366,"5"
12,2866,7.93027116768124,"5"
1,2430,7.48867453542482,"6"
2,2260,6.96477549385189,"6"
3,2910,8.96791888810133,"6"
4,2155,6.64119079170391,"6"
5,2204,6.79219698603963,"6"
6,2274,7.00792012080496,"6"
7,2892,8.91244722487596,"6"
8,2868,8.83848500724213,"6"
9,2914,8.98024592437363,"6"
10,3433,10.5796788807051,"6"
11,3036,9.35622053067891,"6"
12,3073,9.47024561619773,"6"
1,2327,7.65813203448957,"7"
2,2443,8.03988678996906,"7"
3,2512,8.26696504969394,"7"
4,2223,7.31586915026657,"7"
5,2587,8.51378924504706,"7"
6,2735,9.00085565721056,"7"
7,2004,6.59514249983545,"7"
8,1641,5.40051339432633,"7"
9,2545,8.37556769564931,"7"
10,3148,10.3600342262884,"7"
11,3355,11.041269005463,"7"
12,2866,9.43197525176068,"7"
1,1957,9.07404831455464,"8"
2,1460,6.76960170631057,"8"
3,1689,7.83140909723188,"8"
4,1625,7.53465943339361,"8"
5,1579,7.32137061250985,"8"
6,1987,9.21314971947883,"8"
7,2292,10.6273473362081,"8"
8,2232,10.3491445263597,"8"
9,2062,9.56090323178931,"8"
10,1801,8.35072100894886,"8"
11,1433,6.6444104418788,"8"
12,1450,6.72323457133584,"8"
