"month","sentiment","app"
1,0.33,"1"
2,0.2,"1"
3,0.26,"1"
4,0.18,"1"
5,0.18,"1"
6,0.25,"1"
7,0.15,"1"
8,0.24,"1"
9,0.11,"1"
10,0.24,"1"
11,0.12,"1"
12,0.31,"1"
1,0.22,"2"
2,0.18,"2"
3,0.2,"2"
4,0.23,"2"
5,0.19,"2"
6,0.22,"2"
7,0.18,"2"
8,0.22,"2"
9,0.23,"2"
10,0.22,"2"
11,0.19,"2"
12,0.22,"2"
1,0.21,"3"
2,0.2,"3"
3,0.17,"3"
4,0.2,"3"
5,0.2,"3"
6,0.16,"3"
7,0.2,"3"
8,0.2,"3"
9,0.19,"3"
10,0.23,"3"
11,0.17,"3"
12,0.21,"3"
1,0.12,"4"
2,0.13,"4"
3,0.12,"4"
4,0.07,"4"
5,0.11,"4"
6,0.06,"4"
7,0.07,"4"
8,0.09,"4"
9,0.09,"4"
10,0.16,"4"
11,0.13,"4"
12,0.1,"4"
1,0.34,"5"
2,0.33,"5"
3,0.34,"5"
4,0.33,"5"
5,0.33,"5"
6,0.34,"5"
7,0.35,"5"
8,0.36,"5"
9,0.36,"5"
10,0.35,"5"
11,0.34,"5"
12,0.35,"5"
1,0.37,"6"
2,0.35,"6"
3,0.36,"6"
4,0.37,"6"
5,0.35,"6"
6,0.35,"6"
7,0.35,"6"
8,0.34,"6"
9,0.35,"6"
10,0.37,"6"
11,0.37,"6"
12,0.35,"6"
1,0.14,"7"
2,0.14,"7"
3,0.15,"7"
4,0.16,"7"
5,0.15,"7"
6,0.12,"7"
7,0.11,"7"
8,0.15,"7"
9,0.13,"7"
10,0.13,"7"
11,0.11,"7"
12,0.12,"7"
1,0.24,"8"
2,0.26,"8"
3,0.25,"8"
4,0.26,"8"
5,0.26,"8"
6,0.25,"8"
7,0.26,"8"
8,0.25,"8"
9,0.26,"8"
10,0.27,"8"
11,0.29,"8"
12,0.27,"8"
