"week","sentiment","app"
1,0.23,"1"
2,0.4,"1"
3,1,"1"
4,0.07,"1"
5,0.35,"1"
6,0.29,"1"
7,0.19,"1"
8,-0.07,"1"
9,0.58,"1"
10,0.47,"1"
11,-0.14,"1"
12,0.15,"1"
13,0.35,"1"
14,0.25,"1"
15,0.17,"1"
16,0.21,"1"
17,0.2,"1"
18,0.26,"1"
19,0.05,"1"
20,0.15,"1"
21,0.22,"1"
22,0.46,"1"
23,0.19,"1"
24,0.19,"1"
25,0.33,"1"
26,0.3,"1"
27,0.22,"1"
28,0.33,"1"
29,0.02,"1"
30,0.04,"1"
31,0.39,"1"
32,0.27,"1"
33,-0.1,"1"
34,0.33,"1"
35,0.42,"1"
36,0.23,"1"
37,0,"1"
38,0.14,"1"
39,0.02,"1"
40,0.03,"1"
41,-0.02,"1"
42,0.18,"1"
43,0.52,"1"
44,0.21,"1"
45,-0.04,"1"
46,0.15,"1"
47,0.13,"1"
48,0.36,"1"
49,-0.12,"1"
50,0.25,"1"
51,0.26,"1"
52,0.43,"1"
53,0.21,"1"
1,0.28,"2"
2,0.25,"2"
3,0.22,"2"
4,0.16,"2"
5,0.19,"2"
6,0.22,"2"
7,0.14,"2"
8,0.19,"2"
9,0.18,"2"
10,0.18,"2"
11,0.2,"2"
12,0.19,"2"
13,0.23,"2"
14,0.25,"2"
15,0.2,"2"
16,0.24,"2"
17,0.23,"2"
18,0.19,"2"
19,0.14,"2"
20,0.17,"2"
21,0.2,"2"
22,0.22,"2"
23,0.24,"2"
24,0.2,"2"
25,0.21,"2"
26,0.25,"2"
27,0.14,"2"
28,0.22,"2"
29,0.19,"2"
30,0.19,"2"
31,0.17,"2"
32,0.2,"2"
33,0.25,"2"
34,0.25,"2"
35,0.2,"2"
36,0.21,"2"
37,0.28,"2"
38,0.2,"2"
39,0.24,"2"
40,0.25,"2"
41,0.21,"2"
42,0.19,"2"
43,0.22,"2"
44,0.21,"2"
45,0.21,"2"
46,0.2,"2"
47,0.14,"2"
48,0.21,"2"
49,0.24,"2"
50,0.26,"2"
51,0.22,"2"
52,0.2,"2"
53,0.13,"2"
1,0.29,"3"
2,0.2,"3"
3,0.15,"3"
4,0.16,"3"
5,0.23,"3"
6,0.21,"3"
7,0.19,"3"
8,0.2,"3"
9,0.18,"3"
10,0.12,"3"
11,0.21,"3"
12,0.17,"3"
13,0.19,"3"
14,0.17,"3"
15,0.19,"3"
16,0.22,"3"
17,0.21,"3"
18,0.23,"3"
19,0.21,"3"
20,0.14,"3"
21,0.22,"3"
22,0.22,"3"
23,0.12,"3"
24,0.13,"3"
25,0.16,"3"
26,0.22,"3"
27,0.23,"3"
28,0.22,"3"
29,0.11,"3"
30,0.21,"3"
31,0.24,"3"
32,0.21,"3"
33,0.13,"3"
34,0.27,"3"
35,0.18,"3"
36,0.17,"3"
37,0.31,"3"
38,0.14,"3"
39,0.15,"3"
40,0.12,"3"
41,0.22,"3"
42,0.34,"3"
43,0.26,"3"
44,0.22,"3"
45,0.23,"3"
46,0.15,"3"
47,0.14,"3"
48,0.19,"3"
49,0.28,"3"
50,0.22,"3"
51,0.12,"3"
52,0.21,"3"
53,0.41,"3"
1,0.08,"4"
2,0.05,"4"
3,0.17,"4"
4,0.13,"4"
5,0.13,"4"
6,0.26,"4"
7,0.03,"4"
8,0.09,"4"
9,0.17,"4"
10,-0.12,"4"
11,0.18,"4"
12,0.23,"4"
13,0.02,"4"
14,-0.05,"4"
15,0.21,"4"
16,0.19,"4"
17,0.04,"4"
18,0.17,"4"
19,0.02,"4"
20,0.04,"4"
21,0.17,"4"
22,0.1,"4"
23,-0.03,"4"
24,0.16,"4"
25,-0.02,"4"
26,0.12,"4"
27,0.1,"4"
28,-0.02,"4"
29,0.1,"4"
30,0.08,"4"
31,0.1,"4"
32,0.17,"4"
33,0.04,"4"
34,0.04,"4"
35,0,"4"
36,0.09,"4"
37,0.02,"4"
38,0.24,"4"
39,0.11,"4"
40,0.12,"4"
41,0.02,"4"
42,0.18,"4"
43,0.24,"4"
44,0.28,"4"
45,0.03,"4"
46,0.25,"4"
47,0.09,"4"
48,0.15,"4"
49,-0.01,"4"
50,0,"4"
51,0.28,"4"
52,0.13,"4"
53,0.08,"4"
1,0.34,"5"
2,0.37,"5"
3,0.32,"5"
4,0.3,"5"
5,0.36,"5"
6,0.34,"5"
7,0.35,"5"
8,0.31,"5"
9,0.31,"5"
10,0.35,"5"
11,0.34,"5"
12,0.35,"5"
13,0.36,"5"
14,0.32,"5"
15,0.33,"5"
16,0.33,"5"
17,0.32,"5"
18,0.32,"5"
19,0.37,"5"
20,0.31,"5"
21,0.33,"5"
22,0.31,"5"
23,0.34,"5"
24,0.34,"5"
25,0.34,"5"
26,0.33,"5"
27,0.35,"5"
28,0.37,"5"
29,0.34,"5"
30,0.35,"5"
31,0.33,"5"
32,0.35,"5"
33,0.37,"5"
34,0.35,"5"
35,0.36,"5"
36,0.34,"5"
37,0.37,"5"
38,0.33,"5"
39,0.37,"5"
40,0.35,"5"
41,0.37,"5"
42,0.36,"5"
43,0.35,"5"
44,0.35,"5"
45,0.34,"5"
46,0.35,"5"
47,0.32,"5"
48,0.36,"5"
49,0.32,"5"
50,0.36,"5"
51,0.34,"5"
52,0.38,"5"
53,0.43,"5"
1,0.38,"6"
2,0.38,"6"
3,0.34,"6"
4,0.37,"6"
5,0.38,"6"
6,0.35,"6"
7,0.33,"6"
8,0.35,"6"
9,0.37,"6"
10,0.35,"6"
11,0.36,"6"
12,0.36,"6"
13,0.38,"6"
14,0.35,"6"
15,0.38,"6"
16,0.38,"6"
17,0.35,"6"
18,0.37,"6"
19,0.35,"6"
20,0.33,"6"
21,0.36,"6"
22,0.37,"6"
23,0.35,"6"
24,0.36,"6"
25,0.33,"6"
26,0.38,"6"
27,0.34,"6"
28,0.35,"6"
29,0.36,"6"
30,0.35,"6"
31,0.35,"6"
32,0.32,"6"
33,0.33,"6"
34,0.36,"6"
35,0.33,"6"
36,0.36,"6"
37,0.37,"6"
38,0.36,"6"
39,0.32,"6"
40,0.36,"6"
41,0.38,"6"
42,0.36,"6"
43,0.36,"6"
44,0.38,"6"
45,0.39,"6"
46,0.36,"6"
47,0.34,"6"
48,0.39,"6"
49,0.34,"6"
50,0.35,"6"
51,0.35,"6"
52,0.37,"6"
53,0.37,"6"
1,0.16,"7"
2,0.16,"7"
3,0.11,"7"
4,0.12,"7"
5,0.12,"7"
6,0.16,"7"
7,0.13,"7"
8,0.14,"7"
9,0.15,"7"
10,0.14,"7"
11,0.1,"7"
12,0.17,"7"
13,0.17,"7"
14,0.17,"7"
15,0.16,"7"
16,0.16,"7"
17,0.15,"7"
18,0.17,"7"
19,0.16,"7"
20,0.14,"7"
21,0.17,"7"
22,0.17,"7"
23,0.12,"7"
24,0.14,"7"
25,0.09,"7"
26,0.07,"7"
27,0.09,"7"
28,0.08,"7"
29,0.12,"7"
30,0.14,"7"
31,0.16,"7"
32,0.17,"7"
33,0.14,"7"
34,0.17,"7"
35,0.13,"7"
36,0.11,"7"
37,0.12,"7"
38,0.12,"7"
39,0.15,"7"
40,0.13,"7"
41,0.15,"7"
42,0.13,"7"
43,0.13,"7"
44,0.14,"7"
45,0.07,"7"
46,0.08,"7"
47,0.12,"7"
48,0.12,"7"
49,0.12,"7"
50,0.12,"7"
51,0.12,"7"
52,0.1,"7"
53,0.11,"7"
1,0.29,"8"
2,0.22,"8"
3,0.22,"8"
4,0.21,"8"
5,0.28,"8"
6,0.28,"8"
7,0.22,"8"
8,0.28,"8"
9,0.24,"8"
10,0.25,"8"
11,0.22,"8"
12,0.24,"8"
13,0.25,"8"
14,0.24,"8"
15,0.25,"8"
16,0.31,"8"
17,0.25,"8"
18,0.22,"8"
19,0.25,"8"
20,0.26,"8"
21,0.3,"8"
22,0.29,"8"
23,0.23,"8"
24,0.25,"8"
25,0.28,"8"
26,0.25,"8"
27,0.25,"8"
28,0.21,"8"
29,0.27,"8"
30,0.29,"8"
31,0.25,"8"
32,0.21,"8"
33,0.29,"8"
34,0.26,"8"
35,0.23,"8"
36,0.27,"8"
37,0.24,"8"
38,0.26,"8"
39,0.29,"8"
40,0.3,"8"
41,0.25,"8"
42,0.28,"8"
43,0.25,"8"
44,0.28,"8"
45,0.28,"8"
46,0.27,"8"
47,0.3,"8"
48,0.3,"8"
49,0.3,"8"
50,0.25,"8"
51,0.25,"8"
52,0.28,"8"
53,0.26,"8"
