"words","n","pct","app"
"app",196,70.8,"1"
"map",112,40.4,"1"
"use",73,26.4,"1"
"work",71,25.6,"1"
"good",63,22.7,"1"
"great",51,18.4,"1"
"connect",38,13.7,"1"
"purchas",31,11.2,"1"
"can",30,10.8,"1"
"like",30,10.8,"1"
"navig",30,10.8,"1"
"phone",29,10.5,"1"
"need",29,10.5,"1"
"dont",28,10.1,"1"
"free",26,9.4,"1"
"get",26,9.4,"1"
"road",25,9,"1"
"updat",23,8.3,"1"
"rout",23,8.3,"1"
"one",23,8.3,"1"
"app",5629,69.1,"2"
"use",2677,32.9,"2"
"map",2223,27.3,"2"
"work",2040,25,"2"
"tomtom",1747,21.4,"2"
"good",1626,20,"2"
"updat",1352,16.6,"2"
"great",1320,16.2,"2"
"tom",1201,14.7,"2"
"phone",1071,13.1,"2"
"time",1059,13,"2"
"just",1058,13,"2"
"get",1055,13,"2"
"now",1036,12.7,"2"
"year",991,12.2,"2"
"navig",964,11.8,"2"
"need",912,11.2,"2"
"download",847,10.4,"2"
"like",838,10.3,"2"
"rout",828,10.2,"2"
"app",2396,57.9,"3"
"use",1890,45.7,"3"
"map",1247,30.1,"3"
"work",897,21.7,"3"
"updat",806,19.5,"3"
"good",787,19,"3"
"now",765,18.5,"3"
"rout",746,18,"3"
"copilot",706,17.1,"3"
"great",689,16.7,"3"
"year",618,14.9,"3"
"time",602,14.6,"3"
"road",578,14,"3"
"get",525,12.7,"3"
"version",518,12.5,"3"
"new",506,12.2,"3"
"navig",477,11.5,"3"
"just",449,10.9,"3"
"need",438,10.6,"3"
"like",433,10.5,"3"
"app",586,56.1,"4"
"use",430,41.2,"4"
"map",381,36.5,"4"
"work",339,32.5,"4"
"good",236,22.6,"4"
"updat",218,20.9,"4"
"now",197,18.9,"4"
"rout",165,15.8,"4"
"great",156,14.9,"4"
"get",147,14.1,"4"
"time",146,14,"4"
"download",135,12.9,"4"
"navig",129,12.4,"4"
"just",122,11.7,"4"
"find",118,11.3,"4"
"doesnt",116,11.1,"4"
"can",114,10.9,"4"
"navmii",111,10.6,"4"
"even",108,10.3,"4"
"tri",105,10.1,"4"
"app",14353,39.7,"5"
"good",8502,23.5,"5"
"use",7397,20.5,"5"
"map",6987,19.3,"5"
"great",4976,13.8,"5"
"navig",4066,11.3,"5"
"work",3793,10.5,"5"
"best",3677,10.2,"5"
"sygic",3125,8.6,"5"
"updat",2793,7.7,"5"
"nice",2428,6.7,"5"
"time",2420,6.7,"5"
"gps",2194,6.1,"5"
"like",2164,6,"5"
"love",2156,6,"5"
"rout",2148,5.9,"5"
"offlin",1992,5.5,"5"
"get",1837,5.1,"5"
"now",1795,5,"5"
"just",1773,4.9,"5"
"app",12152,37.4,"6"
"map",8573,26.4,"6"
"use",7456,23,"6"
"good",6709,20.7,"6"
"great",4300,13.3,"6"
"offlin",4279,13.2,"6"
"best",3445,10.6,"6"
"work",2939,9.1,"6"
"nice",2096,6.5,"6"
"navig",1984,6.1,"6"
"help",1953,6,"6"
"travel",1942,6,"6"
"love",1814,5.6,"6"
"rout",1737,5.4,"6"
"download",1658,5.1,"6"
"like",1645,5.1,"6"
"thank",1603,4.9,"6"
"can",1600,4.9,"6"
"updat",1547,4.8,"6"
"need",1494,4.6,"6"
"app",17582,57.9,"7"
"use",9831,32.4,"7"
"waze",7482,24.6,"7"
"map",6159,20.3,"7"
"time",5737,18.9,"7"
"work",5193,17.1,"7"
"rout",4845,15.9,"7"
"googl",4607,15.2,"7"
"good",3877,12.8,"7"
"great",3744,12.3,"7"
"love",3696,12.2,"7"
"get",3600,11.8,"7"
"gps",3594,11.8,"7"
"updat",3306,10.9,"7"
"drive",3046,10,"7"
"like",3023,9.9,"7"
"road",2961,9.7,"7"
"traffic",2950,9.7,"7"
"navig",2847,9.4,"7"
"best",2771,9.1,"7"
"app",9620,44.6,"8"
"map",8479,39.3,"8"
"use",5440,25.2,"8"
"offlin",4818,22.3,"8"
"good",3988,18.5,"8"
"navig",3332,15.4,"8"
"best",3316,15.4,"8"
"work",3042,14.1,"8"
"great",2720,12.6,"8"
"download",1898,8.8,"8"
"googl",1887,8.7,"8"
"updat",1865,8.6,"8"
"love",1566,7.3,"8"
"rout",1523,7.1,"8"
"like",1462,6.8,"8"
"time",1422,6.6,"8"
"gps",1417,6.6,"8"
"need",1372,6.4,"8"
"can",1295,6,"8"
"better",1188,5.5,"8"
